Execution Number,CPU Time(s),ROC AUC,Recall,Specificity
1,2.7864089012145996,0.9973841902066605,0.9363401044180231,0.9851936218678815
2,2.7920050621032715,0.9978865823909691,0.9490413723511605,0.9851936218678815
3,2.719973087310791,0.9974674017229643,0.9152590707673408,0.9851936218678815
4,2.696786880493164,0.9989059078502601,0.9386653797218444,0.9920273348519362
5,2.728821039199829,0.9970551293222643,0.9335980344842715,0.9829157175398633
6,3.1419026851654053,0.9963029901579302,0.9196025095424034,0.9829157175398633
7,2.76957106590271,0.9974793693903745,0.9387531259597245,0.9840546697038725
8,2.646962881088257,0.9966359111772217,0.9267318913701575,0.9840546697038725
9,2.7807319164276123,0.9980457348782401,0.94814197341289,0.9863325740318907
10,2.570537805557251,0.9969593380135992,0.9443688851840477,0.9817767653758542
